,DateOfBite,Species,Breed,Age,SpayNeuter,Borough
0,January 01 2018,DOG,Pit Bull,4,False,Brooklyn
1,January 04 2018,DOG,Pit Bull,4,False,Brooklyn
2,January 06 2018,DOG,Pit Bull,4,False,Brooklyn
3,January 08 2018,DOG,Mixed/Other,4,False,Brooklyn
4,January 09 2018,DOG,Pit Bull,4,False,Brooklyn
5,January 03 2018,DOG,BASENJI,4Y,False,Brooklyn
6,January 01 2018,DOG,Pit Bull,4Y,False,Brooklyn
7,January 03 2018,DOG,Pit Bull,4Y,False,Brooklyn
8,January 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5Y,False,Brooklyn
9,January 10 2018,DOG,MIXED,3Y,False,Brooklyn
10,January 06 2018,DOG,MIXED,3Y,False,Brooklyn
11,January 07 2018,DOG,Yorkshire Terrier Crossbreed,7,True,Brooklyn
12,January 06 2018,DOG,Great Dane,6,True,Brooklyn
13,January 01 2018,DOG,Pit Bull,6,False,Brooklyn
14,January 09 2018,DOG,Labradoodle,5,True,Brooklyn
15,January 01 2018,DOG,West High White Terrier,5,False,Brooklyn
16,January 14 2018,DOG,American Pit Bull Terrier/Pit Bull,5,False,Brooklyn
17,January 07 2018,DOG,American Pit Bull Terrier/Pit Bull,5,False,Brooklyn
18,January 13 2018,DOG,MIXED,7,False,Brooklyn
19,January 10 2018,DOG,American Pit Bull Terrier/Pit Bull,7,False,Brooklyn
20,January 15 2018,DOG,"Poodle, Miniature",8,True,Brooklyn
21,January 13 2018,DOG,American Pit Bull Terrier/Pit Bull,11,True,Brooklyn
22,January 13 2018,DOG,Pekingese,11,False,Brooklyn
23,January 09 2018,DOG,Pekingese,11,False,Brooklyn
24,January 01 2018,DOG,Pekingese,11,False,Brooklyn
25,January 18 2018,DOG,Pekingese,3,True,Brooklyn
26,January 08 2018,DOG,POODLE X,13Y,True,Brooklyn
27,January 18 2018,DOG,Labrador Retriever Crossbreed,11,True,Brooklyn
28,January 18 2018,DOG,American Pit Bull Terrier/Pit Bull,2,True,Brooklyn
29,January 17 2018,DOG,Dachshund Smooth Coat,2,False,Brooklyn
30,January 20 2018,DOG,Pit Bull,2,False,Brooklyn
31,January 21 2018,DOG,Pit Bull,2,True,Brooklyn
32,January 23 2018,DOG,MIXED,2,False,Brooklyn
33,January 23 2018,DOG,MIXED,2,False,Brooklyn
34,January 23 2018,DOG,Chihuahua,4,False,Brooklyn
35,January 15 2018,DOG,Pit Bull,4,False,Brooklyn
36,January 23 2018,DOG,Yorkshire Terrier,4,False,Brooklyn
37,January 24 2018,DOG,Shih Tzu,4,False,Brooklyn
38,January 28 2018,DOG,Pug,8,True,Brooklyn
39,January 27 2018,DOG,Maltese,8,False,Brooklyn
40,January 28 2018,DOG,Mixed/Other,8,False,Brooklyn
41,January 29 2018,DOG,Mixed/Other,7,False,Brooklyn
42,January 27 2018,DOG,MINATURE PINSCHER X,7,False,Brooklyn
43,January 28 2018,DOG,MINATURE PINSCHER X,8,False,Brooklyn
44,February 01 2018,DOG,TERRIER CROSS,4,False,Brooklyn
45,January 31 2018,DOG,Shih Tzu,4,False,Brooklyn
46,February 01 2018,DOG,"Dachshund, Wirehaired, Miniature",10M,False,Brooklyn
47,January 29 2018,DOG,AMERICAN STAFF X,3,True,Brooklyn
48,February 02 2018,DOG,AMERICAN STAFF X,3,False,Brooklyn
49,February 05 2018,DOG,Bichon Frise,3,False,Brooklyn
50,February 05 2018,DOG,German Shepherd,1,False,Brooklyn
51,January 31 2018,DOG,Pit Bull,1,False,Brooklyn
52,February 04 2018,DOG,Pit Bull,1,False,Brooklyn
53,February 04 2018,DOG,MIXED BREED,1,False,Brooklyn
54,January 29 2018,DOG,MIXED,5,False,Brooklyn
55,January 21 2018,DOG,Pit Bull,5,False,Brooklyn
56,January 21 2018,DOG,Pit Bull,5,False,Brooklyn
57,February 09 2018,DOG,Chihuahua,9M,False,Brooklyn
58,February 07 2018,DOG,American Pit Bull Terrier/Pit Bull,2,False,Brooklyn
59,February 13 2018,DOG,MIXED BREED,2,False,Brooklyn
60,February 05 2018,DOG,American Pit Bull Mix / Pit Bull Mix,6,False,Brooklyn
61,February 12 2018,DOG,German Shepherd,3,False,Brooklyn
62,February 15 2018,DOG,MIXED BREED,3,False,Brooklyn
63,February 10 2018,DOG,Labrador Retriever,5,True,Brooklyn
64,February 11 2018,DOG,Rottweiler,5,False,Brooklyn
65,February 16 2018,DOG,SHIH TZU X,9,False,Brooklyn
66,February 14 2018,DOG,CANE CORSO/BLUE NOSED PIT BULLX,10,False,Brooklyn
67,February 18 2018,DOG,POMERANIAN MIX,8M,False,Brooklyn
68,February 19 2018,DOG,Norfolk Terrier,8M,False,Brooklyn
69,February 20 2018,DOG,BORDER COLLIE MIX,3,False,Brooklyn
70,February 16 2018,DOG,Beagle Crossbreed,4,True,Brooklyn
71,February 19 2018,DOG,American Pit Bull Mix / Pit Bull Mix,2,False,Brooklyn
72,February 17 2018,DOG,POODLE MIX,4,True,Brooklyn
73,February 11 2018,DOG,UNCERTAIN,4,False,Brooklyn
74,February 17 2018,DOG,MIXED BREED,2,True,Brooklyn
75,February 21 2018,DOG,MIXED BREED,2,False,Brooklyn
76,February 07 2018,DOG,Labrador Retriever Crossbreed,4,True,Brooklyn
77,February 09 2018,DOG,Chihuahua,7,True,Brooklyn
78,February 22 2018,DOG,American Pit Bull Terrier/Pit Bull,2,False,Brooklyn
79,February 24 2018,DOG,Pit Bull,3,True,Brooklyn
80,February 25 2018,DOG,Yorkshire Terrier,3,False,Brooklyn
81,February 24 2018,DOG,Rottweiler,3,False,Brooklyn
82,February 25 2018,DOG,Pit Bull,3,False,Brooklyn
83,February 26 2018,DOG,MINI PINSCHER/POMERANIAN X,8,True,Brooklyn
84,February 27 2018,DOG,Pit Bull,3,False,Brooklyn
85,February 26 2018,DOG,"Poodle, Standard",5,False,Brooklyn
86,February 17 2018,DOG,Pit Bull,5,False,Brooklyn
87,February 26 2018,DOG,Labradoodle,8,True,Brooklyn
88,March 04 2018,DOG,UNCERTAIN,8,False,Brooklyn
89,March 03 2018,DOG,Australian Silky Terrier,6,True,Brooklyn
90,March 02 2018,DOG,Cocker Spaniel,2,False,Brooklyn
91,March 04 2018,DOG,Beagle Crossbreed,2,False,Brooklyn
92,March 04 2018,DOG,Siberian Husky,5,True,Brooklyn
93,March 05 2018,DOG,MIXED BREED,3,False,Brooklyn
94,March 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,True,Brooklyn
95,February 28 2018,DOG,SHEPHERD/POINTER X,1,True,Brooklyn
96,March 05 2018,DOG,Boxer,1,False,Brooklyn
97,March 06 2018,DOG,Shih Tzu,1,False,Brooklyn
98,March 06 2018,DOG,American Pit Bull Terrier/Pit Bull,1,False,Brooklyn
99,March 06 2018,DOG,MIXED BREED,13,True,Brooklyn
100,March 03 2018,DOG,TERRIER MIX,5,False,Brooklyn
101,February 21 2018,DOG,German Shepherd,5,False,Brooklyn
102,March 04 2018,DOG,German Shepherd,5,False,Brooklyn
103,February 22 2018,DOG,UNCERTAIN,5,False,Brooklyn
104,March 11 2018,DOG,Pit Bull,2,True,Brooklyn
105,March 12 2018,DOG,Siberian Husky,2,False,Brooklyn
106,March 11 2018,DOG,Pit Bull,4M,False,Brooklyn
107,March 09 2018,DOG,Labrador Retriever,10W,False,Brooklyn
108,March 15 2018,DOG,Beagle,7,True,Brooklyn
109,March 17 2018,DOG,Jack Russ,7,False,Brooklyn
110,March 17 2018,DOG,Rottweiler,4,True,Brooklyn
111,March 17 2018,DOG,Labrador Retriever Crossbreed,2,True,Brooklyn
112,March 18 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,False,Brooklyn
113,March 18 2018,DOG,MIXED BREED,11,False,Brooklyn
114,March 18 2018,DOG,MIXED BREED,9,False,Brooklyn
115,March 17 2018,DOG,MIXED BREED,2,False,Brooklyn
116,March 11 2018,DOG,MIXED BREED,6,True,Brooklyn
117,March 20 2018,DOG,Maltese,6,False,Brooklyn
118,March 22 2018,DOG,Maltese,6,False,Brooklyn
119,March 17 2018,DOG,Maltese,6,False,Brooklyn
120,March 21 2018,DOG,Maltese,7-8M,False,Brooklyn
121,March 11 2018,DOG,Lhasa Apso,1,False,Brooklyn
122,March 26 2018,DOG,CORGI-CHIHUAHUA X,11,True,Brooklyn
123,March 22 2018,DOG,Puggle,9,False,Brooklyn
124,March 25 2018,DOG,ENGLISH STAFFORDSHIRE TERRIER,1,True,Brooklyn
125,March 23 2018,DOG,MIXED BREED,8,True,Brooklyn
126,March 26 2018,DOG,Pit Bull,8,False,Brooklyn
127,March 27 2018,DOG,Shih Tzu,8,False,Brooklyn
128,March 23 2018,DOG,Shih Tzu,13,False,Brooklyn
129,March 27 2018,DOG,Bichon Frise,13,False,Brooklyn
130,March 26 2018,DOG,American Pit Bull Terrier/Pit Bull,13,False,Brooklyn
131,March 23 2018,DOG,American Pit Bull Terrier/Pit Bull,13,False,Brooklyn
132,March 25 2018,DOG,American Pit Bull Mix / Pit Bull Mix,13,False,Brooklyn
133,March 28 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,True,Brooklyn
134,March 29 2018,DOG,Shih Tzu,2,False,Brooklyn
135,March 30 2018,DOG,BICHON / POODLE MIX,11,False,Brooklyn
136,April 01 2018,DOG,Maltese,11,False,Brooklyn
137,March 31 2018,DOG,Maltese,11,True,Brooklyn
138,April 04 2018,DOG,MIXED BREED,4,False,Brooklyn
139,March 31 2018,DOG,MALTESE/ SHIH TZU X,3,False,Brooklyn
140,March 31 2018,DOG,SIBERIAN HUSKY X,4,False,Brooklyn
141,April 04 2018,DOG,MIXED BREED,10,False,Brooklyn
142,April 04 2018,DOG,MIXED BREED,10,False,Brooklyn
143,April 03 2018,DOG,MIXED BREED,3,False,Brooklyn
144,April 04 2018,DOG,MIXED BREED,3,False,Brooklyn
145,March 29 2018,DOG,MIXED BREED,4,False,Brooklyn
146,April 04 2018,DOG,MIXED BREED,4,False,Brooklyn
147,April 08 2018,DOG,MIXED BREED,2,False,Brooklyn
148,April 08 2018,DOG,MIXED BREED,2,False,Brooklyn
149,April 07 2018,DOG,Akita,4,False,Brooklyn
150,April 08 2018,DOG,SHIH TZU X,3,False,Brooklyn
151,April 08 2018,DOG,RAT TERRIER MIX,1,True,Brooklyn
152,April 09 2018,DOG,BOSTON TERRIER/CHIHUAHUA,6,True,Brooklyn
153,April 09 2018,DOG,German Shepherd Crossbreed,3,True,Brooklyn
154,March 31 2018,DOG,American Pit Bull Terrier/Pit Bull,3,False,Brooklyn
155,April 07 2018,DOG,SHEPERD,3,False,Brooklyn
156,April 08 2018,DOG,MIXED BREED,3,True,Brooklyn
157,April 09 2018,DOG,Siberian Husky,1,True,Brooklyn
158,April 10 2018,DOG,Shih Tzu,6,True,Brooklyn
159,April 10 2018,DOG,Pit Bull,6,False,Brooklyn
160,April 10 2018,DOG,Maltese,10,True,Brooklyn
161,April 02 2018,DOG,MIXED,6,True,Brooklyn
162,April 08 2018,DOG,Yorkshire Terrier Crossbreed,6,False,Brooklyn
163,April 07 2018,DOG,BORDER COLLIE X,6,False,Brooklyn
164,April 07 2018,DOG,American Pit Bull Terrier/Pit Bull,1,False,Brooklyn
165,April 14 2018,DOG,Cane Corso,9,False,Brooklyn
166,April 16 2018,DOG,Dachshund Smooth Coat,12,True,Brooklyn
167,April 16 2018,DOG,Rottweiler,2,True,Brooklyn
168,April 15 2018,DOG,HOUND,2,False,Brooklyn
169,April 12 2018,DOG,Pit Bull,2,False,Brooklyn
170,April 10 2018,DOG,MALTESE/ SHIH TZU,1,True,Brooklyn
171,April 18 2018,DOG,American Pit Bull Terrier/Pit Bull,1,False,Brooklyn
172,April 18 2018,DOG,American Pit Bull Terrier/Pit Bull,1,False,Brooklyn
173,April 18 2018,DOG,MIXED,2,False,Brooklyn
174,April 18 2018,DOG,MIXED,2,False,Brooklyn
175,April 19 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5,False,Brooklyn
176,April 21 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,False,Brooklyn
177,April 23 2018,DOG,Shih Tzu,7,False,Brooklyn
178,April 19 2018,DOG,German Shepherd,7,False,Brooklyn
179,April 23 2018,DOG,MIXED,8,False,Brooklyn
180,April 21 2018,DOG,American Pit Bull Terrier/Pit Bull,8,False,Brooklyn
181,April 21 2018,DOG,German Shepherd,8,False,Brooklyn
182,April 23 2018,DOG,German Shepherd,2,True,Brooklyn
183,April 24 2018,DOG,German Shepherd Crossbreed,8,True,Brooklyn
184,April 24 2018,DOG,American Pit Bull Terrier/Pit Bull,8,False,Brooklyn
185,April 18 2018,DOG,Pit Bull,8,False,Brooklyn
186,April 23 2018,DOG,Pit Bull,8,False,Brooklyn
187,April 24 2018,DOG,Pit Bull,8,False,Brooklyn
188,April 24 2018,DOG,Pit Bull,8,False,Brooklyn
189,April 18 2018,DOG,Chihuahua,8,False,Brooklyn
190,April 25 2018,DOG,SHIH TZU X,8,False,Brooklyn
191,April 26 2018,DOG,Pit Bull,8,False,Brooklyn
192,April 02 2018,DOG,LHASA APSO/POODLE X,5,True,Brooklyn
193,April 29 2018,DOG,Pit Bull,5,False,Brooklyn
194,April 27 2018,DOG,MIXED BREED,5,False,Brooklyn
195,April 25 2018,DOG,ASIAN SHEPERD,2,True,Brooklyn
196,May 01 2018,DOG,German Shepherd,9M,True,Brooklyn
197,April 29 2018,DOG,MIXED,2,True,Brooklyn
198,May 01 2018,DOG,MIXED,2,False,Brooklyn
199,April 14 2018,DOG,Mixed/Other,4,False,Brooklyn
200,May 01 2018,DOG,Golden Retriever,1,False,Brooklyn
201,May 02 2018,DOG,American Pit Bull Mix / Pit Bull Mix,4,False,Brooklyn
202,May 02 2018,DOG,American Pit Bull Terrier/Pit Bull,4,False,Brooklyn
203,May 02 2018,DOG,Labrador Retriever Crossbreed,5,True,Brooklyn
204,April 27 2018,DOG,American Pit Bull Terrier/Pit Bull,5,False,Brooklyn
205,May 03 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5,False,Brooklyn
206,May 07 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5,False,Brooklyn
207,May 05 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5,False,Brooklyn
208,May 05 2018,DOG,Yorkshire Terrier,5,False,Brooklyn
209,May 04 2018,DOG,Yorkshire Terrier,15,True,Brooklyn
210,May 07 2018,DOG,PIT BULL/LAB X,8,False,Brooklyn
211,April 27 2018,DOG,Shiba Inu,8,False,Brooklyn
212,May 07 2018,DOG,Yorkshire Terrier,1,False,Brooklyn
213,May 09 2018,DOG,Bull dog,1,False,Brooklyn
214,May 07 2018,DOG,Pit Bull,1,False,Brooklyn
215,May 08 2018,DOG,Rottweiler,1,True,Brooklyn
216,May 01 2018,DOG,German Shepherd Crossbreed,15,True,Brooklyn
217,March 04 2018,DOG,Siberian Husky,15,False,Brooklyn
218,May 10 2018,DOG,Siberian Husky,15,False,Brooklyn
219,May 07 2018,DOG,Siberian Husky,15,False,Brooklyn
220,May 09 2018,DOG,AUSTRALIAN CATTLEDOG,6,True,Brooklyn
221,May 10 2018,DOG,Yorkshire Terrier Crossbreed,7,False,Brooklyn
222,May 12 2018,DOG,American Pit Bull Terrier/Pit Bull,7,False,Brooklyn
223,May 12 2018,DOG,American Pit Bull Terrier/Pit Bull,7,False,Brooklyn
224,May 14 2018,DOG,Beagle Crossbreed,4,True,Brooklyn
225,May 12 2018,DOG,"Bull Dog, French",2,True,Brooklyn
226,May 15 2018,DOG,MIXED BREED,8,False,Brooklyn
227,May 09 2018,DOG,Great Dane,8,False,Brooklyn
228,May 14 2018,DOG,Great Dane,8,False,Brooklyn
229,May 14 2018,DOG,Great Dane,8,False,Brooklyn
230,May 13 2018,DOG,American Pit Bull Terrier/Pit Bull,8,False,Brooklyn
231,April 17 2018,DOG,Cane Corso,1,False,Brooklyn
232,May 17 2018,DOG,Labrador Retriever Crossbreed,3,True,Brooklyn
233,May 18 2018,DOG,Pit Bull,3,False,Brooklyn
234,May 20 2018,DOG,MIXED BREED,1,False,Brooklyn
235,May 19 2018,DOG,SPANIEL,1,False,Brooklyn
236,May 19 2018,DOG,MIXED BREED,1,False,Brooklyn
237,May 20 2018,DOG,American Pit Bull Terrier/Pit Bull,4,False,Brooklyn
238,May 18 2018,DOG,HUSKY,4,False,Brooklyn
239,May 22 2018,DOG,Pit Bull,4,False,Brooklyn
240,May 22 2018,DOG,Pit Bull,4,False,Brooklyn
241,May 20 2018,DOG,Cocker Spaniel,4,False,Brooklyn
242,May 23 2018,DOG,Cocker Spaniel,6,False,Brooklyn
243,May 23 2018,DOG,Pit Bull,6,False,Brooklyn
244,May 24 2018,DOG,CHOW CHOW X,4,True,Brooklyn
245,May 24 2018,DOG,CHOW CHOW X,4,True,Brooklyn
246,May 28 2018,DOG,LARGE MIXED BREED,6,False,Brooklyn
247,May 20 2018,DOG,MIXED,6,False,Brooklyn
248,May 28 2018,DOG,Pit Bull,6,False,Brooklyn
249,May 26 2018,DOG,AMERICAN BULLY,1,False,Brooklyn
250,May 26 2018,DOG,Shih Tzu,1,False,Brooklyn
251,May 26 2018,DOG,MIXED BREED,1,False,Brooklyn
252,May 24 2018,DOG,MIXED BREED,1,False,Brooklyn
253,May 27 2018,DOG,Golden Retriever,8,False,Brooklyn
254,May 26 2018,DOG,UNCERTAIN,8,False,Brooklyn
255,May 24 2018,DOG,American Pit Bull Terrier/Pit Bull,5,True,Brooklyn
256,June 01 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,False,Brooklyn
257,June 02 2018,DOG,Pit Bull,3,False,Brooklyn
258,June 02 2018,DOG,Pit Bull,3,False,Brooklyn
259,June 02 2018,DOG,Pit Bull,3,False,Brooklyn
260,June 05 2018,DOG,Mixed/Other,3,False,Brooklyn
261,June 01 2018,DOG,ZUCHON,4,False,Brooklyn
262,June 01 2018,DOG,HOUND,2,True,Brooklyn
263,June 02 2018,DOG,HOUND,2,False,Brooklyn
264,June 02 2018,DOG,Dachshund Smooth Coat,11,True,Brooklyn
265,June 04 2018,DOG,SMALL MIXED BREED,8,False,Brooklyn
266,June 04 2018,DOG,Pit Bull,8,False,Brooklyn
267,June 01 2018,DOG,Pit Bull,8,False,Brooklyn
268,May 25 2018,DOG,Beagle Crossbreed,8,False,Brooklyn
269,May 26 2018,DOG,"Bull Dog, English",6,True,Brooklyn
270,May 25 2018,DOG,MIXED,6,False,Brooklyn
271,May 30 2018,DOG,MEDIUM MIXED BREED,5,False,Brooklyn
272,June 08 2018,DOG,MEDIUM MIXED BREED,3,False,Brooklyn
273,May 31 2018,DOG,Boxer,3,False,Brooklyn
274,May 26 2018,DOG,Shih Tzu,2,False,Brooklyn
275,May 21 2018,DOG,Pit Bull,2,False,Brooklyn
276,May 30 2018,DOG,Shih Tzu,2,False,Brooklyn
277,June 06 2018,DOG,Yorkshire Terrier Crossbreed,2,False,Brooklyn
278,June 12 2018,DOG,Pit Bull,3,False,Brooklyn
279,June 06 2018,DOG,MALTESE BIGHON MIX WHITE,3,False,Brooklyn
280,June 01 2018,DOG,BORDER COLLIE MIX,6,True,Brooklyn
281,June 10 2018,DOG,Yorkshire Terrier,6,False,Brooklyn
282,June 02 2018,DOG,American Pit Bull Mix / Pit Bull Mix,6,False,Brooklyn
283,June 14 2018,DOG,TERRIER/MALTESE MIX,4,True,Brooklyn
284,June 07 2018,DOG,"Poodle, Standard",4,False,Brooklyn
285,May 31 2018,DOG,Mixed/Other,4,False,Brooklyn
286,June 09 2018,DOG,Pit Bull,4,False,Brooklyn
287,May 23 2018,DOG,German Shepherd,4,False,Brooklyn
288,May 30 2018,DOG,SHIH POO,2,False,Brooklyn
289,June 14 2018,DOG,Pit Bull,2,False,Brooklyn
290,June 14 2018,DOG,Pit Bull,2,False,Brooklyn
291,June 07 2018,DOG,Pit Bull,2,False,Brooklyn
292,June 09 2018,DOG,Mixed/Other,5,False,Brooklyn
293,June 14 2018,DOG,Maltese,5,False,Brooklyn
294,June 10 2018,DOG,Maltese,5,False,Brooklyn
295,June 02 2018,DOG,Maltese,6,False,Brooklyn
296,June 16 2018,DOG,Pit Bull,6,False,Brooklyn
297,June 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,6,False,Brooklyn
298,June 12 2018,DOG,MIXED BREED,6,False,Brooklyn
299,June 10 2018,DOG,Maltese,6,False,Brooklyn
300,June 19 2018,DOG,UNCERTAIN,6,False,Brooklyn
301,June 11 2018,DOG,Shih Tzu,6,False,Brooklyn
302,June 06 2018,DOG,Shih Tzu,6,False,Brooklyn
303,May 28 2018,DOG,Boston Terrier,6,False,Brooklyn
304,June 13 2018,DOG,Pit Bull,6,False,Brooklyn
305,June 11 2018,DOG,BERNEDOODLE,6,False,Brooklyn
306,June 20 2018,DOG,LARGE MIXED BREED,2,False,Brooklyn
307,June 20 2018,DOG,LARGE MIXED BREED,2,False,Brooklyn
308,June 18 2018,DOG,PUG OR PIT BULL,2,False,Brooklyn
309,June 17 2018,DOG,Pit Bull,2,False,Brooklyn
310,June 13 2018,DOG,HOUND,2,False,Brooklyn
311,June 18 2018,DOG,AUSTRALIAN SHEPARD - POODLE MIX,2,False,Brooklyn
312,June 16 2018,DOG,AUSTRALIAN SHEPARD - POODLE MIX,4,False,Brooklyn
313,June 16 2018,DOG,Pit Bull,4,False,Brooklyn
314,June 19 2018,DOG,Pit Bull,4,False,Brooklyn
315,June 24 2018,DOG,Maltese,9,True,Brooklyn
316,June 18 2018,DOG,UNCERTAIN,4,True,Brooklyn
317,May 28 2018,DOG,AUSTRALIAN CATTLE DOG,6,True,Brooklyn
318,June 24 2018,DOG,LARGE MIXED BREED,1,False,Brooklyn
319,June 23 2018,DOG,SMALL MIXED BREED,1,False,Brooklyn
320,June 17 2018,DOG,Pit Bull,1,False,Brooklyn
321,June 19 2018,DOG,SHIH TZU/MALTESE X,1,False,Brooklyn
322,June 21 2018,DOG,SHIH TZU/MALTESE X,7,True,Brooklyn
323,June 23 2018,DOG,Cocker Spaniel,7,False,Brooklyn
324,June 21 2018,DOG,Boston Terrier,5,True,Brooklyn
325,June 21 2018,DOG,Cane Corso,7 YRS,False,Brooklyn
326,June 24 2018,DOG,MIXED,1,False,Brooklyn
327,June 27 2018,DOG,Chihuahua Crossbreed,2,False,Brooklyn
328,June 22 2018,DOG,Siberian Husky,2,False,Brooklyn
329,June 22 2018,DOG,Siberian Husky,2,False,Brooklyn
330,June 25 2018,DOG,Siberian Husky,2,False,Brooklyn
331,June 16 2018,DOG,German Shepherd,4,False,Brooklyn
332,June 30 2018,DOG,UNCERTAIN,4,False,Brooklyn
333,June 22 2018,DOG,Labrador Retriever,1,True,Brooklyn
334,June 27 2018,DOG,CHORKIE,1,False,Brooklyn
335,June 21 2018,DOG,Shiba Inu,3,True,Brooklyn
336,June 22 2018,DOG,German Shepherd,5,False,Brooklyn
337,June 22 2018,DOG,German Shepherd,5,False,Brooklyn
338,June 23 2018,DOG,UNCERTAIN,5,False,Brooklyn
339,June 23 2018,DOG,PETITE GOLDEN DOODLE,4,True,Brooklyn
340,June 21 2018,DOG,Pit Bull,4,False,Brooklyn
341,June 23 2018,DOG,Yorkshire Terrier,4,False,Brooklyn
342,June 23 2018,DOG,Golden Retriever,4,False,Brooklyn
343,June 22 2018,DOG,Golden Retriever,4,False,Brooklyn
344,June 16 2018,DOG,Yorkshire Terrier,4,False,Brooklyn
345,July 04 2018,DOG,Yorkshire Terrier,8,False,Brooklyn
346,July 04 2018,DOG,Pit Bull,8,False,Brooklyn
347,July 04 2018,DOG,German Shepherd,8,False,Brooklyn
348,July 03 2018,DOG,HOUND MIX,2,True,Brooklyn
349,July 05 2018,DOG,"Bull Dog, English",11,True,Brooklyn
350,July 04 2018,DOG,SMALL DOG,11,False,Brooklyn
351,July 06 2018,DOG,LARGE MIXED BREED,2,False,Brooklyn
352,July 06 2018,DOG,MEDIUM MIXED BREED,2,True,Brooklyn
353,June 22 2018,DOG,Pit Bull,2,False,Brooklyn
354,June 26 2018,DOG,Pit Bull,2,False,Brooklyn
355,June 24 2018,DOG,"Poodle, Standard",2,False,Brooklyn
356,June 21 2018,DOG,SHEPERD,2,False,Brooklyn
357,June 25 2018,DOG,Pit Bull,2,False,Brooklyn
358,June 27 2018,DOG,Pit Bull,2,False,Brooklyn
359,June 25 2018,DOG,Pit Bull,2,False,Brooklyn
360,June 27 2018,DOG,LABRADOR X,2,False,Brooklyn
361,June 29 2018,DOG,Dachshund Smooth Coat,2,True,Brooklyn
362,July 09 2018,DOG,LARGE MIXED BREED,5,False,Brooklyn
363,June 28 2018,DOG,UNCERTAIN,5,False,Brooklyn
364,July 04 2018,DOG,Pomeranian,8,False,Brooklyn
365,July 05 2018,DOG,SPANIEL/POODLE MIX,12,True,Brooklyn
366,July 03 2018,DOG,Jack Russ,12,False,Brooklyn
367,June 28 2018,DOG,Jack Russ,1,True,Brooklyn
368,July 03 2018,DOG,Jack Russ,1,False,Brooklyn
369,May 21 2018,DOG,Pit Bull,1,False,Brooklyn
370,June 30 2018,DOG,MIXED,1,False,Brooklyn
371,July 07 2018,DOG,MIXED,1,False,Brooklyn
372,June 11 2018,DOG,RETREIVER,1,False,Brooklyn
373,July 07 2018,DOG,American Pit Bull Terrier/Pit Bull,1,False,Brooklyn
374,July 05 2018,DOG,American Pit Bull Terrier/Pit Bull,1,False,Brooklyn
375,July 09 2018,DOG,American Pit Bull Mix / Pit Bull Mix,1,False,Brooklyn
376,July 14 2018,DOG,Alaskan Klee Kai,4,True,Brooklyn
377,July 10 2018,DOG,"Bull Dog, English",8,True,Brooklyn
378,July 12 2018,DOG,Bull Terrier,8,True,Brooklyn
379,July 10 2018,DOG,Pit Bull,8,False,Brooklyn
380,July 14 2018,DOG,Cocker Spaniel,8,False,Brooklyn
381,July 10 2018,DOG,SMALL DOG,8,False,Brooklyn
382,July 17 2018,DOG,CHOW CHOW/GOLDEN RETRIEVER X,8,False,Brooklyn
383,July 01 2018,DOG,CHOW CHOW/GOLDEN RETRIEVER X,3,False,Brooklyn
384,July 04 2018,DOG,German Shepherd,3,False,Brooklyn
385,July 17 2018,DOG,Golden Retriever,3,True,Brooklyn
386,July 18 2018,DOG,Shih Tzu,7,True,Brooklyn
387,July 15 2018,DOG,Yorkshire Terrier,7,False,Brooklyn
388,July 16 2018,DOG,Pit Bull,7,False,Brooklyn
389,July 19 2018,DOG,AUSTRALIAN TERRIER X,12,False,Brooklyn
390,June 23 2018,DOG,American Staffordshire Terrier,12,False,Brooklyn
391,July 17 2018,DOG,GERMAN SHEPHERD/GOLDEN RETRIEVER X,12,False,Brooklyn
392,July 15 2018,DOG,CORGI,12,False,Brooklyn
393,July 19 2018,DOG,Pit Bull,12,False,Brooklyn
394,July 19 2018,DOG,SHIH TZU X,10,True,Brooklyn
395,July 20 2018,DOG,German Shepherd,10,False,Brooklyn
396,July 07 2018,DOG,American Pit Bull Terrier/Pit Bull,10,False,Brooklyn
397,June 21 2018,DOG,American Pit Bull Terrier/Pit Bull,10,False,Brooklyn
398,July 22 2018,DOG,HUSKY,10,False,Brooklyn
399,July 21 2018,DOG,Labrador Retriever,10,False,Brooklyn
400,July 13 2018,DOG,GOLDEN RETRIEVER X,1,True,Brooklyn
401,July 14 2018,DOG,UNCERTAIN,1,False,Brooklyn
402,July 25 2018,DOG,COLLIE MIX,9,True,Brooklyn
403,July 24 2018,DOG,American Pit Bull Terrier/Pit Bull,9,False,Brooklyn
404,July 04 2018,DOG,ROTTWEILER MIX,7,True,Brooklyn
405,July 22 2018,DOG,Shih Tzu,4,False,Brooklyn
406,July 20 2018,DOG,GOLDEN DOODLE,5,True,Brooklyn
